genome.genome_id	genome.genome_name	genome.antimicrobial_resistance	genome.antimicrobial_resistance_evidence
573.22433	Klebsiella pneumoniae strain CRK0121	Resistant::Susceptible	Computational Prediction
573.22434	Klebsiella pneumoniae strain CRK0114	Susceptible::Resistant	Computational Prediction
573.22435	Klebsiella pneumoniae strain CRK0179	Resistant::Susceptible	Computational Prediction
573.22436	Klebsiella pneumoniae strain CRK0113	Susceptible::Resistant	Computational Prediction
573.22437	Klebsiella pneumoniae strain CRK0112	Resistant::Susceptible	Computational Prediction
573.22438	Klebsiella pneumoniae strain CRK0110	Resistant::Susceptible	Computational Prediction
573.22439	Klebsiella pneumoniae strain CRK0116	Resistant::Susceptible	Computational Prediction
573.22440	Klebsiella pneumoniae strain CRK0129	Resistant::Susceptible	Computational Prediction
573.22441	Klebsiella pneumoniae strain CRK0126	Resistant::Susceptible	Computational Prediction
573.22442	Klebsiella pneumoniae strain CRK0125	Resistant::Susceptible	Computational Prediction
573.22443	Klebsiella pneumoniae strain CRK0124	Susceptible::Resistant	Computational Prediction
573.22444	Klebsiella pneumoniae strain CRK0120	Resistant::Susceptible	Computational Prediction
573.22445	Klebsiella pneumoniae strain CRK0103	Susceptible::Resistant	Computational Prediction
